plc_reg,method_1,method_2
D0001,0,0
D0002,0,0
D0003,0,0
D0004,0,0
D0005,0,0
D0006,0,0
D0007,0,0
D0008,0,0
D0009,0,0
D0010,0,0
D0011,0,0
D0012,0,0
D0013,0,0
D0014,0,0
D0015,0,0
D0016,0,0
D0017,0,0
D0018,0,0
D0019,0,0
D0020,0,0
D0021,0,0
D0022,0,0
D0023,0,0
D0024,0,0
D0025,0,0
D0026,0,0
D0027,0,0
D0028,0,0
D0029,0,0
D0030,0,0
D0031,0,0
D0032,0,0
D0033,0,0
D0034,0,0
D0035,0,0
D0036,0,0
D0037,0,0
D0038,0,0
D0039,0,0
D0040,0,0
D0041,0,0
D0042,0,0
D0043,0,0
D0044,0,0
D0045,0,0
D0046,0,0
D0047,0,0
D0048,0,0
D0049,0,0
D0050,80,80
D0051,0,0
D0052,0,0
D0053,0,0
D0054,0,0
D0055,0,0
D0056,0,0
D0057,0,0
D0058,0,0
D0059,0,0
D0060,0,0
D0061,0,0
D0062,0,0
D0063,0,0
D0064,0,0
D0065,0,0
D0066,0,0
D0067,0,0
D0068,0,0
D0069,0,0
D0070,0,0
D0071,0,0
D0072,0,0
D0073,0,0
D0074,0,0
D0075,0,0
D0076,0,0
D0077,0,0
D0078,0,0
D0079,0,0
D0080,0,0
D0081,0,0
D0082,0,0
D0083,0,0
D0084,0,0
D0085,0,0
D0086,0,0
D0087,0,0
D0088,0,0
D0089,0,0
D0090,0,0
D0091,0,0
D0092,0,0
D0093,0,0
D0094,0,0
D0095,0,0
D0096,0,0
D0097,0,0
D0098,0,0
D0099,0,0
D0100,256,256
D0101,0,0
D0102,0,0
D0103,0,0
D0104,0,0
D0105,0,0
D0106,0,0
D0107,0,0
D0108,0,0
D0109,0,0
D0110,0,0
D0111,0,0
D0112,0,0
D0113,0,0
D0114,0,0
D0115,0,0
D0116,0,0
D0117,0,0
D0118,0,0
D0119,0,0
D0120,0,0
D0121,0,0
D0122,0,0
D0123,0,0
D0124,0,0
D0125,0,0
D0126,0,0
D0127,0,0
D0128,0,0
D0129,0,0
D0130,0,0
D0131,0,0
D0132,0,0
D0133,0,0
D0134,0,0
D0135,0,0
D0136,0,0
D0137,0,0
D0138,0,0
D0139,0,0
D0140,0,0
D0141,0,0
D0142,0,0
D0143,0,0
D0144,0,0
D0145,0,0
D0146,0,0
D0147,0,0
D0148,0,0
D0149,0,0
D0150,336,336
D0151,0,0
D0152,0,0
D0153,0,0
D0154,0,0
D0155,0,0
D0156,0,0
D0157,0,0
D0158,0,0
D0159,0,0
D0160,0,0
D0161,0,0
D0162,0,0
D0163,0,0
D0164,0,0
D0165,0,0
D0166,0,0
D0167,0,0
D0168,0,0
D0169,0,0
D0170,0,0
D0171,0,0
D0172,0,0
D0173,0,0
D0174,0,0
D0175,0,0
D0176,0,0
D0177,0,0
D0178,0,0
D0179,0,0
D0180,0,0
D0181,0,0
D0182,0,0
D0183,0,0
D0184,0,0
D0185,0,0
D0186,0,0
D0187,0,0
D0188,0,0
D0189,0,0
D0190,0,0
D0191,0,0
D0192,0,0
D0193,0,0
D0194,0,0
D0195,0,0
D0196,0,0
D0197,0,0
D0198,0,0
D0199,0,0
D0200,-29570,-29570
D0201,16457,16457
D0202,0,0
D0203,0,0
D0204,0,0
D0205,0,0
D0206,0,0
D0207,0,0
D0208,0,0
D0209,0,0
D0210,0,0
D0211,0,0
D0212,0,0
D0213,0,0
D0214,0,0
D0215,0,0
D0216,0,0
D0217,0,0
D0218,0,0
D0219,0,0
D0220,0,0
D0221,0,0
D0222,0,0
D0223,0,0
D0224,0,0
D0225,0,0
D0226,0,0
D0227,0,0
D0228,0,0
D0229,0,0
D0230,0,0
D0231,0,0
D0232,0,0
D0233,0,0
D0234,0,0
D0235,0,0
D0236,0,0
D0237,0,0
D0238,0,0
D0239,0,0
D0240,0,0
D0241,0,0
D0242,0,0
